FILENAME: `BIPs/00batched/2025-W6/1-0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f.json`
MULTISIG: `multisigs/dao (mainnet:0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f)`
COMMIT: `81a3b94595e9ac7f58a4c9cff367209c71977243`
CHAIN(S): `mainnet`
TENDERLY: [`🟩 SUCCESS`](https://www.tdly.co/shared/simulation/bb92ae7e-28d6-4ae4-b6e9-aa3ea9a82562)

```
+----------+-------------------------------------------------+-----------------------------------------------------------------------------+---------------------------------------+---------+----------+
| function | token_symbol                                    | recipient                                                                   | amount                                |   bip   | tx_index |
+----------+-------------------------------------------------+-----------------------------------------------------------------------------+---------------------------------------+---------+----------+
| transfer | USDC:0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48 | multisigs/beets_service_provider:0x811912c19eEF91b9Dc3cA52fc426590cFB84FC86 | 174000.0 (RAW: 174000000000)          | BIP-753 |    0     |
| transfer | BAL:0xba100000625a3754423978a60c9317c58a424e3D  | payees/karpatkey_payments:0x58e6c7ab55Aa9012eAccA16d1ED4c15795669E1C        | 2453.85 (RAW: 2453850000000000000000) | BIP-013 |   111    |
| transfer | USDC:0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48 | payees/karpatkey_payments:0x58e6c7ab55Aa9012eAccA16d1ED4c15795669E1C        | 50727.0 (RAW: 50727000000)            | BIP-013 |   112    |
| transfer | BAL:0xba100000625a3754423978a60c9317c58a424e3D  | EOA/dao/mounibec:0x0951FF0835302929d6c0162b3d2495A85e38ec3A                 | 500.0 (RAW: 500000000000000000000)    | BIP-762 |   117    |
| transfer | BAL:0xba100000625a3754423978a60c9317c58a424e3D  | EOA/dao/0xMaki:0x285b7EEa81a5B66B62e7276a24c1e0F83F7409c1                   | 500.0 (RAW: 500000000000000000000)    | BIP-762 |   118    |
| transfer | BAL:0xba100000625a3754423978a60c9317c58a424e3D  | EOA/dao/0xSausageDoge:0x59693BA1A5764e087CE166ac0E0085Fc071B9ea7            | 500.0 (RAW: 500000000000000000000)    | BIP-762 |   119    |
| transfer | BAL:0xba100000625a3754423978a60c9317c58a424e3D  | EOA/emeritus/tritium_signer:0xcf4fF1e03830D692F52EB094c52A5A6A2181Ab3F      | 500.0 (RAW: 500000000000000000000)    | BIP-762 |   120    |
| transfer | BAL:0xba100000625a3754423978a60c9317c58a424e3D  | payees/nanexcool_payments:0x72BA1965320ab5352FD6D68235Cc3C5306a6FFA2        | 500.0 (RAW: 500000000000000000000)    | BIP-762 |   121    |
| transfer | BAL:0xba100000625a3754423978a60c9317c58a424e3D  | EOA/dao/StefanDGeorge:0x9F7dfAb2222A473284205cdDF08a677726d786A0            | 500.0 (RAW: 500000000000000000000)    | BIP-762 |   122    |
| transfer | BAL:0xba100000625a3754423978a60c9317c58a424e3D  | EOA/contributors-payees/gosuto:0x3f993093c3917Fe7A117f37cFD008775249f59c8   | 500.0 (RAW: 500000000000000000000)    | BIP-762 |   123    |
+----------+-------------------------------------------------+-----------------------------------------------------------------------------+---------------------------------------+---------+----------+
```
FILENAME: `BIPs/00batched/2025-W6/1-0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f.json`
MULTISIG: `multisigs/dao (mainnet:0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f)`
COMMIT: `81a3b94595e9ac7f58a4c9cff367209c71977243`
CHAIN(S): `mainnet`
TENDERLY: [`🟩 SUCCESS`](https://www.tdly.co/shared/simulation/ab76c416-6b8e-463d-bd6f-e5918be294e8)

```
+-----------------------+---------------+--------------------------------------------+-----------------------------------------------------------------------------------------------+--------------------------------------------------------------------+---------+----------+
| function              | caller_name   | caller_address                             | fx_paths                                                                                      | action_ids                                                         |   bip   | tx_index |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x63E3951212cCCAFE3eDC7588FD4D20Ee5e7Ad73f (gauges/33LUSD-33LQTY-33WETH-gauge-63e3)                  | killGauge()                   |                                                                   | BIP-750 |    44    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x4f3F3501F376D93E4E5FD61d4168f871CBf67C97 (gauges/50STG-503POOL-BPT-gauge-4f3f)                     | killGauge()                   |                                                                   | BIP-750 |    45    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x53Fa0546f307317dAA82371e94E8Dcd5CAd3345F (gauges/80psdnOCEAN-20OCEAN-gauge-53fa)                   | killGauge()                   |                                                                   | BIP-750 |    46    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0xE879f17910E77c01952b97E4A098B0ED15B6295c (gauges/OHM-wstETH-gauge-e879)                            | killGauge()                   |                                                                   | BIP-750 |    47    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x44bc38d3aF025C0EA9a4729E79d6E44244d68Ac6 (gauges/80RATE/20WETH-BPT-gauge-44bc)                     | killGauge()                   |                                                                   | BIP-750 |    48    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x008EB79DBE2Efcf8A9586F8F697464BE65D39eFf (gauges/LP-EURS-USDC-gauge-008e)                          | killGauge()                   |                                                                   | BIP-750 |    49    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x2efCc89a1D534a8ee0e8dD469fa05cb20ccF5C19 (gauges/33LCNY-33LUSD-33WETH-gauge-2efc)                  | killGauge()                   |                                                                   | BIP-750 |    50    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x6EE63656BbF5BE3fdF9Be4982BF9466F6a921b83 (gauges/80wstETH/20GHO-gauge-6ee6)                        | killGauge()                   |                                                                   | BIP-750 |    51    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x107A2209883621aFe2968da31C03190e0B2782C2 (gauges/50OHM-50DAI-gauge-107a)                           | killGauge()                   |                                                                   | BIP-750 |    52    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0xFc4541437265945F13368F9F61c19dA427D41A02 (gauges/DOLA-CUSD BSP-gauge-fc45)                         | killGauge()                   |                                                                   | BIP-750 |    53    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0xd1c070eBc7Ec77f2134b3Ef75283b6C1fb31a157 (gauges/wbETH-wstETH-gauge-d1c0)                          | killGauge()                   |                                                                   | BIP-750 |    54    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0xe6281Fc01607366794597d7fA6b32931fF986969 (gauges/uniETH/wstETH/rETH-gauge-e628)                    | killGauge()                   |                                                                   | BIP-750 |    55    |
